UniversalMessageId,Message,Year,Month,Day,Editoria,Categoria,Produto,SocialNetwork,Sentimento,shares,comments,likes,alcance
FACEBOOK_14_2295160550573750_2298983580191447,"Sou PROMOTORA DA TIM 📌📍

Controle ✅

7.5 gigas de internet 
Ligação ilimitada para qualquer operadora e qualquer ddd 
SMS ilimitado pra qualquer operadora 
Apps ilimitado watsap Facebook Twitter Instagram Messenger telegram avontade sem descontar da internet 
Por 49.99

Pôs pago ✅

20GB de internet 
Ligação ilimitada para qualquer operadora e qualquer ddd SMS ilimitado 
Watsap Facebook Twitter Instagram Messenger telegram avontade sem descontar da internet Netflix YouTube gratuito sem descontar da internet por 85.99

📍 Faço portabilidade ou nova linha . Quem tiver interesse ou pra mais informações 31991404263 .  Ou chame no mensseger",2019,2019-06-01,2019-06-28,A,Contas e Tarifas,Aplicativo,Facebook,Neutro,77,193,1869,28140
FACEBOOK_97_979307628897613_980153018813074,"se vc tiver internet ja, pense bem antes de trocar, o suporte da Tim é um lixo, fiquei + de uma semana pra ter um problema simples resolvido, pq quando tem q mandar técnico, eles enrolam 48h, depois marcam pro último horário do dia e o técnico não aparece, depois disso são mais 24h pro técnico poder frustrar a visista e + 48 pra ir outro, detalhe que eles não sabem o pq dos técnicos não comparecerem",2018,2018-08-01,2018-08-29,A,Produtos e Serviços,Aplicativos Ilimitados,Facebook,Negativo,84,113,1337,27574
FACEBOOK_38_m_mid.$cAAArT5RmHchoEHWQ9Vh3zBGnQXrD,"Boa noite! 
Ganhei um chip da tim para testar a internet por um mês! Recebi pelo correio tudo certinho, porém coloco no celular e ele não pega sinal de jeito nenhum...o q eu tenho q fazer? Precisa ser feito algum cadastro?",2018,2018-03-01,2018-03-01,A,Produtos e Serviços,Sinal,Facebook,Negativo,99,207,1568,12174
INSTAGRAM_36_1769065312912473074_7467063967,"No perca nenhum lance! 4g de qualidade para dois empresa.
@praxis.telecom
A melhor parceria em soluções em telefonia. .
O plano ideal para sua empresa. Consulte nossos especialistas. .
.
Faça a gestão da sua empresa e reduza custos extras. Planos de telefonia móvel corporativa.
.
#telefonia #telefoniamovel #telefoniacelular #telefoniacorporativa  #telefoniaempresarial #planosdetelefonia #telecom #internetmovel #vivo #tim #claro #planosvivo #planostim #planosclaro #planoscorporativos #telefoniaparaempresas #pme #pmes #microempresa #microempreendedor #microempresas #vivoempresas #timempresas #claroempresas",2018,2018-04-01,2018-04-30,A,Marca,4G,Instagram,Positivo,68,279,1833,26329
WEB_100_sg_E2B263D5F250B7398372867503432B18,"Comprei um iPhone nas Casas Bahia de Campo Grande RJ, na compra o atendente me disse que eu poderia escolher um chip de graça da tim ou da claro, eu escolhi o da tim, a mulher que estava com a blusa da tim cadastrando os chips pegou o chip e disse que iria cadastrar, e ela agiu de má fé e me cadastrou em um pacote que paga 45 reais por mês SEM A MINHA AUTORIZAÇÃO!!!! Essa semana fui abrir meu e-mail e recebi a fatura que é mensal!!!! Passei o disse ligando para o 1056 e 144 mas quando peço para me passar para o atendente a ligação cai ou seja, até agora não consegui cancelar essa conbrança indevida!!! Um absurdo!!!!!",2018,2018-10-01,2018-10-27,A,Contas e Tarifas,Fraude,Web,Negativo,95,245,1160,18538
WEB_100_sg_91D3E588205A2575FBCA6C623DA689D7,"No dia 11/10/2018, a tarde, por voltas das 16:30 me direcionei a loja da tim localizada dentro do shopping metrô Tatuapé, chegando ao local solicitei o plano Tim Controle (R$49,00), o vendedor me recepcionou e me levou até a mesa para atendimento. Em princípio eu já havia informado que o meu número de celular não estava no meu nome e sim no nome da minha mãe, ele disse que não tinha problema, então solicitou o meu cpf e alguns outros dados, antecipadamente eu também perguntei a ele o que eu poderia e não poderia fazer com esse plano a resposta foi a seguinte nada será cobrado adicional se seu pacote acabar aguardar renovação, em alguns instantes ele informou que o plano já estava ativado na minha linha e eu iria receber uma mensagem de confirmação. Sai da loja e por volta das 20:00 recebi a mensagem de confirmação e pelo aplicativo da tim também obtive a informação do meu plano. Usei o plano a partir deste horário até o dia 13/10/2018 à noite. No dia seguinte 14/10/2018 ao consultar o aplicativo me certifiquei de que o plano havia sido renovado (mesmo eu não usado o anterior), liguei na tim e relatei a situação a atendente me informou que havia sido renovado, pois eu havia escolhido o dia 7 para vencimento da fatura (a primeira informação que não foi me informada pelo atendente). No mesmo dia a noite ao consultar a franquia de internet consultei que havia sido consumido 73% da internet (4gb) o que era inviável, pois a única social que usei durante o dia foi o Facebook, que dizia não ser descontado da franquia de internet neste pacote. Ao ligar na tim novamente enfrentei problemas em conseguir falar na minha linha, pois havia sido alterado o cpf da minha mãe para o meu (o segundo procedimento feito pelo atendente SEM MINHA PERMISSÃO). Na segunda-feira dia 15/10/2018 liguei para a central de atendimento da tim para realizar o cancelamento do plano, no ato do cancelamento a atendente me informou que faria o cancelamento, porém que eu teria que pagar um valor inicialmente (R$108) por quebra de contrato, eu não aceitei e questionei, ela disse que o plano que eu adquiri tem uma vigência de 12 meses e que o cancelamento ocasionaria na cobrança de quebra de contrato, só que em momento NENHUM o atendente me informou desta cláusula, não tive nenhuma notificação por parte dele. No dia 22/10/2018 retornei à loja, pedi para falar com a gerente e fui direcionada para uma moça cujo nome Cíntia(que se apresentou como Supervisora), me atendeu má vontade, cara feia e ironia. A mesma não deixou eu concluir o que tinha para falar (me perguntou se eu tinha assinado contrato, eu disse que não, o que realmente não aconteceu e eu questionei se eu não tinha assinado nada como tinha sido aprovado ela deu de ombros e disse que era uma prática normal segundo a mesma e que era só eu contestar quando viesse a cobrança) e disse que eu teria que resolver com o próprio atendente, eu descrevi as características físicas do mesmo e ela disse que ele não estava na loja que já havia ido embora. Pois bem, a cobrança vai vir e eu NÃO vou arcar por falta de desinformação e atitude desonesta do vendedor. Não tenho tempo para ir todos os dias a loja atrás do vendedor. A cobrança vai acontecer e quem irá arcar será o vendedor ou a loja, pois em ligação para a tim fui informada que não havia com interceder, pois como foi contratado em loja física a resolução viria dos mesmos.",2018,2018-10-01,2018-10-30,A,Atendimento e Relacionamento,Aplicativo,Web,Negativo,86,195,1468,18254
FACEBOOK_14_2356592884430516_2401392006617270,"Sou promotor de vendas da Tim, faço planos para aquisição ou portabilidade! 
20Gb de internet + todas as recdes sociais ilimitadas (Instagram, twitter, Facebook, whatsapp) + ligações ilimitadas para qualquer operadora do Brasil o You tube e Netflix liberada por apenas R$85,99 💥  Plano de ate 7.5 GB de internet + todas as redes sociais ilimitadas (Instagram, twitter, Facebook, whatsapp) + ligações ilimitadas para qualquer operadora do Brasil por apenas R$ 49,99
Caso tenham interesse em adquirir deixem o telefone com DDD nos comentários ou no meu inbox, que eu entro em contato, ou chamem aqui 31995471366",2019,2019-08-01,2019-08-26,A,Produtos e Serviços,Internet,Facebook,Neutro,96,226,1280,21737
WEB_115_mov_1295FBFCE65DD7DB0A69B5FBF20CDED4,"A Agência Nacional de Telecomunicações (Anatel) confirmou nesta quarta-feira, 27, ao jornal O Estado de S. Paulo, que pretende realizar até março de 2020 o leilão das frequências para o 5G, tecnologia de conexão móvel de quinta geração. O presidente da agência, ...",2019,2019-02-01,2019-02-28,A,Atendimento e Relacionamento,Institucional,Web,Negativo,83,210,1936,28851
TWITTER_8_1121608342898708480,"Meu, fui fazer uma recarga pq meu plano controle acabou né, aí tá:
1. Moça passa 10 pila. OK. vc DEVE para a tim descontamos 14 pilas e vcs CONTINUA DEVENDO, pobre.
2. Moça, passa mais 10. Ah não deu pq não pode passar o mesmo valor seguido.
3. Tá, moça passa 15 pila. Nada.....",2019,2019-04-01,2019-04-26,A,Contas e Tarifas,Plano,Twitter,Negativo,95,171,1224,22775
TWITTER_8_967753346546372608,"mano, olha a mensagem que a tim me mandou pic.twitter.com/V8ST8jcBZV",2018,2018-02-01,2018-02-25,A,Produtos e Serviços,SMS,Twitter,Neutro,82,246,1016,28501
TWITTER_4_1143673094986436608,A @TIMBrasil  é uma bosta,2019,2019-06-01,2019-06-26,A,,,Twitter,Negativo,88,142,1926,14404
